,maxtempC,mintempC,uvIndex,HeatIndexC,WindGustKmph,humidity,tempC,windspeedKmph,Brent_Prices,Henry_Hub_Price,WTI_Prices,elec_price
2021-08-13 01:00:00,30,20,7,21,6,67,21,3,70.8682104489763,3.9443533639181965,68.33305646456373,85.37
2021-08-13 02:00:00,30,20,7,21,6,69,21,3,70.83743401652198,3.9389260748880086,68.30696611173369,81.01
2021-08-13 03:00:00,30,20,7,20,6,71,20,3,70.80767070263708,3.933718132909438,68.28172894150988,79.96
2021-08-13 04:00:00,30,20,7,21,6,70,21,3,70.77892050732157,3.928729537982485,68.25734495389233,81.3
2021-08-13 05:00:00,30,20,7,22,5,68,21,3,70.75118343057544,3.9239602901071478,68.23381414888097,85.26
2021-08-13 06:00:00,30,20,7,23,5,67,21,4,70.72445947239872,3.919410389283428,68.21113652647587,112.86
2021-08-13 07:00:00,30,20,7,24,6,63,22,4,70.6987486327914,3.915079835511325,68.189312086677,123.98
2021-08-13 08:00:00,30,20,7,25,6,58,24,5,70.67405091175348,3.9109686287908394,68.16834082948436,121.93
2021-08-13 09:00:00,30,20,7,26,7,53,25,6,70.65036630928495,3.9070767691219697,68.14822275489796,109.66
2021-08-13 10:00:00,30,20,7,27,8,49,26,7,70.6276948253858,3.9034042565047167,68.12895786291777,99.98
2021-08-13 11:00:00,30,20,7,28,9,44,28,8,70.60603646005607,3.8999510909390818,68.11054615354384,88.02
2021-08-13 12:00:00,30,20,7,29,10,40,29,8,70.58539121329574,3.8967172724250627,68.09298762677614,83.75
2021-08-13 13:00:00,30,20,7,29,11,38,30,9,70.56575908510482,3.8937028009626617,68.07628228261466,74.05
2021-08-13 14:00:00,30,20,7,29,13,36,30,10,70.54714007548326,3.890907676551876,68.06043012105941,72.04
2021-08-13 15:00:00,30,20,7,30,14,34,30,12,70.52953418443111,3.8883318991927083,68.0454311421104,71.88
2021-08-13 16:00:00,30,20,7,29,15,38,29,11,70.51294141194836,3.885975468885157,68.03128534576763,72.58
2021-08-13 17:00:00,30,20,7,28,15,41,29,10,70.49736175803501,3.8838383856292227,68.01799273203109,86.13
2021-08-13 18:00:00,30,20,7,28,15,45,28,10,70.48279522269105,3.881920649424905,68.00555330090077,104.91
2021-08-13 19:00:00,30,20,7,27,14,48,27,8,70.46924180591648,3.880222260272204,67.99396705237669,117.48
2021-08-13 20:00:00,30,20,7,26,13,52,25,7,70.45670150771133,3.8787432181711208,67.98323398645884,115.68
2021-08-13 21:00:00,30,20,7,26,12,56,24,6,70.44517432807558,3.877483523121654,67.97335410314723,115.77
2021-08-13 22:00:00,30,20,7,25,13,61,23,7,70.43466026700918,3.8764431751238027,67.96432740244184,106.91
2021-08-13 23:00:00,30,20,7,23,15,66,22,8,70.42515932451222,3.875622174177569,67.9561538843427,92.19
2021-08-14 00:00:00,27,20,5,22,16,71,21,9,70.41667150058466,3.8750205202829537,67.94883354884979,78.02
2021-08-14 01:00:00,27,20,5,21,15,72,21,9,70.40919679522648,3.8746382134399537,67.94236639596309,75.66
2021-08-14 02:00:00,27,20,5,21,15,74,20,9,70.40273520843769,3.874475253648571,67.93675242568264,71.55
2021-08-14 03:00:00,27,20,5,20,14,75,20,9,70.39728674021832,3.8745316409088053,67.93199163800844,69.45
2021-08-14 04:00:00,27,20,5,20,12,76,20,9,70.39285139056832,3.8748073752206555,67.92808403294045,69.06
2021-08-14 05:00:00,27,20,5,20,11,77,20,8,70.38942915948775,3.875302456584124,67.9250296104787,69.2
2021-08-14 06:00:00,27,20,5,20,9,78,20,7,70.38702004697655,3.876016884999209,67.92282837062318,69.7
2021-08-14 07:00:00,27,20,5,21,10,74,21,8,70.38562405303475,3.8769506604659094,67.92148031337388,73.51
2021-08-14 08:00:00,27,20,5,22,11,70,22,9,70.38524117766237,3.878103782984229,67.92098543873085,75.02
2021-08-14 09:00:00,27,20,5,24,12,65,23,10,70.38587142085936,3.8794762525541637,67.92134374669402,73.86
2021-08-14 10:00:00,27,20,5,24,15,57,24,13,70.38751478262574,3.8810680691757162,67.92255523726344,63.26
2021-08-14 11:00:00,27,20,5,25,18,49,25,16,70.39017126296154,3.882879232848885,67.92461991043908,58.08
2021-08-14 12:00:00,27,20,5,26,21,41,26,18,70.39384086186674,3.8849097435736706,67.92753776622095,51.23
2021-08-14 13:00:00,27,20,5,26,23,38,27,19,70.39765113845424,3.8870252701262746,67.93041312545002,7.14
2021-08-14 14:00:00,27,20,5,26,24,35,27,21,70.40072965183693,3.889091481282899,67.93235030896726,5.8
2021-08-14 15:00:00,27,20,5,26,26,31,27,22,70.40307640201486,3.8911083770435435,67.9333493167726,14.6
2021-08-14 16:00:00,27,20,5,26,24,35,26,19,70.40469138898798,3.893075957408208,67.93341014886612,50.35
2021-08-14 17:00:00,27,20,5,26,23,39,25,17,70.40557461275631,3.8949942223768907,67.93253280524776,58.98
2021-08-14 18:00:00,27,20,5,25,22,43,25,14,70.4057260733199,3.896863171949596,67.93071728591757,76.96
2021-08-14 19:00:00,27,20,5,24,19,47,23,12,70.40514577067866,3.89868280612632,67.92796359087552,86.94
2021-08-14 20:00:00,27,20,5,23,16,52,22,9,70.40383370483262,3.900453124907063,67.9242717201216,88.56
2021-08-14 21:00:00,27,20,5,22,14,57,21,7,70.40178987578182,3.9021741282918274,67.91964167365585,87.9
2021-08-14 22:00:00,27,20,5,21,13,61,20,7,70.3990142835262,3.903845816280611,67.91407345147825,85.12
2021-08-14 23:00:00,27,20,5,20,13,65,19,7,70.39550692806583,3.9054681888734146,67.90756705358878,78.09
2021-08-15 00:00:00,26,17,6,19,13,69,19,6,70.39126780940066,3.9070412460702397,67.90012247998747,73.7
2021-08-15 01:00:00,26,17,6,18,12,71,18,6,70.3862969275307,3.9085649878710824,67.8917397306743,69.88
2021-08-15 02:00:00,26,17,6,18,12,74,18,6,70.38059428245593,3.9100394142759463,67.88241880564928,64.92
2021-08-15 03:00:00,26,17,6,17,12,76,17,6,70.3741598741764,3.911464525284831,67.8721597049124,62.43
2021-08-15 04:00:00,26,17,6,17,11,75,17,6,70.36699370269207,3.9128403208977343,67.86096242846368,59.94
2021-08-15 05:00:00,26,17,6,18,10,75,18,6,70.35909576800296,3.914166801114658,67.8488269763031,59.98
2021-08-15 06:00:00,26,17,6,18,8,74,18,5,70.35046607010905,3.9154439659356015,67.83575334843066,59.01
2021-08-15 07:00:00,26,17,6,20,9,69,19,6,70.34110460901036,3.9166718153605653,67.82174154484638,58.41
2021-08-15 08:00:00,26,17,6,21,9,64,20,7,70.33101138470688,3.9178503493895485,67.80679156555024,57.54
2021-08-15 09:00:00,26,17,6,23,9,60,22,8,70.32018639719861,3.918979568022552,67.79090341054224,53.54
2021-08-15 10:00:00,26,17,6,24,10,55,23,9,70.30862964648554,3.920059471259575,67.77407707982239,53.67
2021-08-15 11:00:00,26,17,6,25,11,51,24,9,70.2963411325677,3.921090059100619,67.75631257339072,53.05
2021-08-15 12:00:00,26,17,6,26,12,47,25,10,70.28332085544506,3.9220713315456823,67.73760989124715,52.95
2021-08-15 13:00:00,26,17,6,26,12,46,25,11,70.26956881511765,3.9230032885947654,67.71796903339174,30.06
2021-08-15 14:00:00,26,17,6,26,12,45,25,11,70.25508501158544,3.923885930247869,67.69738999982448,12.5
2021-08-15 15:00:00,26,17,6,26,13,44,26,11,70.23986944484844,3.9247192565049924,67.67587279054538,20.41
2021-08-15 16:00:00,26,17,6,26,12,47,25,10,70.22392211490666,3.9255032673661354,67.65341740555442,51.67
2021-08-15 17:00:00,26,17,6,26,11,50,25,8,70.20724302176006,3.9262379628312982,67.63002384485159,67.05
2021-08-15 18:00:00,26,17,6,25,10,53,24,7,70.18983216540872,3.9269233429004817,67.60569210843693,82.16
2021-08-15 19:00:00,26,17,6,24,10,55,23,6,70.17168954585256,3.9275594075736846,67.5804221963104,91.83
2021-08-15 20:00:00,26,17,6,23,9,58,22,6,70.15281516309162,3.928146156850908,67.55421410847202,94.77
2021-08-15 21:00:00,26,17,6,22,9,60,22,5,70.13320901712589,3.9286835907321507,67.52706784492179,93.41
2021-08-15 22:00:00,26,17,6,21,14,61,21,7,70.11287110795539,3.929171709217414,67.49898340565971,86.77
2021-08-15 23:00:00,26,17,6,20,19,63,20,10,70.09180143558008,3.929610512306698,67.46996079068578,76.95
2021-08-16 00:00:00,23,16,6,19,24,64,19,12,70.07,3.93,67.44,67.94
2021-08-16 01:00:00,23,16,6,19,24,66,19,12,70.04746680121511,3.9303401722973232,67.40910103360235,64.73
2021-08-16 02:00:00,23,16,6,18,24,67,18,12,70.02420183922543,3.9306310291986657,67.37726389149286,62.08
2021-08-16 03:00:00,23,16,6,18,24,69,18,12,70.00020511403098,3.9308725707040284,67.34448857367151,60.13
2021-08-16 04:00:00,23,16,6,18,24,68,18,13,69.97547662563173,3.931064796813412,67.31077508013831,60.82
2021-08-16 05:00:00,23,16,6,18,24,68,18,13,69.95001637402768,3.9312077075268137,67.27612341089326,68.06
2021-08-16 06:00:00,23,16,6,18,23,68,18,14,69.92382435921888,3.931301302844237,67.24053356593637,90.04
2021-08-16 07:00:00,23,16,6,20,26,64,19,17,69.89690058120527,3.9313455827656796,67.2040055452676,100.44
2021-08-16 08:00:00,23,16,6,21,29,60,20,21,69.86924503998688,3.9313405472911422,67.16653934888699,96.7
2021-08-16 09:00:00,23,16,6,23,32,56,21,24,69.84085773556367,3.9312861964206256,67.12813497679453,80.02
2021-08-16 10:00:00,23,16,6,23,34,52,22,26,69.81173866793571,3.9311825301541274,67.0887924289902,69.95
2021-08-16 11:00:00,23,16,6,24,35,48,23,28,69.78188783710294,3.93102954849165,67.04851170547403,54.72
